,casual,TOP_RGB,BOTTOM_RGB,path
393,,"(95, 99, 103)","(47, 49, 53)",casual_images/7_33.webp
394,,"(26, 30, 37)","(42, 39, 43)",casual_images/7_34.webp
395,,"(36, 37, 38)","(82, 88, 98)",casual_images/7_35.webp
396,,"(192, 179, 172)","(159, 150, 143)",casual_images/7_36.webp
397,,"(94, 94, 93)","(84, 89, 99)",casual_images/7_37.webp
398,,"(43, 45, 51)","(131, 143, 161)",casual_images/7_38.webp
399,,"(32, 37, 49)","(181, 171, 164)",casual_images/7_39.webp
400,,"(95, 97, 96)","(42, 43, 48)",casual_images/7_40.webp
401,,"(35, 39, 47)","(67, 71, 76)",casual_images/7_41.webp
402,,"(63, 66, 72)","(32, 31, 38)",casual_images/7_42.webp
403,,"(96, 83, 81)","(107, 101, 94)",casual_images/7_43.webp
404,,"(208, 208, 210)","(44, 42, 47)",casual_images/7_44.webp
405,,"(196, 197, 207)","(137, 132, 124)",casual_images/7_45.webp
406,,"(47, 50, 58)","(94, 102, 111)",casual_images/7_46.webp
407,,"(122, 108, 104)","(93, 95, 95)",casual_images/7_47.webp
408,,"(139, 143, 152)","(108, 79, 69)",casual_images/7_48.webp
409,,"(67, 51, 56)","(41, 44, 48)",casual_images/7_49.webp
410,,"(104, 113, 112)","(75, 77, 77)",casual_images/7_50.webp
411,,"(195, 193, 198)","(49, 77, 112)",casual_images/7_51.webp
412,,"(58, 61, 64)","(85, 76, 71)",casual_images/7_52.webp
413,,"(147, 121, 139)","(40, 41, 48)",casual_images/7_53.webp
414,,"(63, 56, 61)","(176, 152, 143)",casual_images/7_54.webp
415,,"(57, 78, 94)","(109, 111, 119)",casual_images/7_55.webp
416,,"(156, 134, 125)","(125, 127, 145)",casual_images/7_56.webp
417,,"(63, 61, 67)","(63, 63, 67)",casual_images/7_57.webp
418,,"(151, 174, 216)","(91, 99, 110)",casual_images/7_58.webp
419,,"(178, 174, 176)","(65, 73, 87)",casual_images/7_59.webp
420,,"(63, 61, 67)","(63, 63, 67)",casual_images/8_0.webp
421,,"(81, 81, 92)","(144, 153, 152)",casual_images/8_1.webp
422,,"(71, 83, 103)","(55, 63, 85)",casual_images/8_2.webp
423,,"(157, 159, 166)","(57, 72, 86)",casual_images/8_3.webp
424,,"(93, 87, 86)","(167, 162, 170)",casual_images/8_4.webp
425,,"(39, 42, 47)","(38, 39, 44)",casual_images/8_5.webp
426,,"(15, 17, 23)",,casual_images/8_6.webp
427,,"(70, 69, 71)","(82, 72, 68)",casual_images/8_7.webp
428,,"(64, 58, 47)","(38, 36, 30)",casual_images/8_8.webp
429,,"(52, 49, 49)","(70, 86, 85)",casual_images/8_9.webp
430,,"(91, 81, 64)","(91, 97, 78)",casual_images/8_10.webp
431,,"(42, 48, 54)","(113, 125, 126)",casual_images/8_11.webp
432,,"(142, 143, 132)","(58, 63, 65)",casual_images/8_12.webp
433,,"(127, 44, 59)","(101, 86, 81)",casual_images/8_13.webp
434,,"(97, 103, 123)","(168, 166, 165)",casual_images/8_14.webp
435,,"(84, 84, 89)","(41, 44, 51)",casual_images/8_15.webp
436,,"(109, 102, 96)","(35, 36, 40)",casual_images/8_16.webp
437,,"(38, 41, 46)","(97, 112, 131)",casual_images/8_17.webp
438,,"(105, 92, 82)","(74, 64, 59)",casual_images/8_18.webp
439,,"(54, 58, 65)","(158, 151, 143)",casual_images/8_19.webp
440,,"(85, 86, 99)","(158, 160, 165)",casual_images/8_20.webp
441,,"(65, 58, 67)","(90, 86, 95)",casual_images/8_21.webp
442,,"(169, 168, 171)","(39, 43, 48)",casual_images/8_22.webp
443,,"(55, 55, 59)","(71, 57, 55)",casual_images/8_23.webp
444,,"(95, 77, 83)","(93, 103, 117)",casual_images/8_24.webp
445,,"(63, 63, 67)","(94, 102, 111)",casual_images/8_25.webp
446,,"(60, 67, 75)","(88, 87, 87)",casual_images/8_26.webp
447,,"(71, 68, 64)","(66, 67, 61)",casual_images/8_27.webp
448,,"(51, 60, 67)","(48, 52, 59)",casual_images/8_28.webp
449,,"(50, 79, 84)","(137, 141, 150)",casual_images/8_29.webp
450,,"(163, 71, 85)","(100, 88, 90)",casual_images/8_30.webp
451,,"(45, 40, 46)","(40, 43, 51)",casual_images/8_31.webp
452,,"(150, 158, 181)","(46, 49, 63)",casual_images/8_32.webp
453,,"(78, 83, 102)","(72, 100, 137)",casual_images/8_33.webp
454,,"(93, 112, 123)","(179, 188, 201)",casual_images/8_34.webp
455,,"(85, 79, 80)","(151, 149, 161)",casual_images/8_35.webp
456,,"(62, 70, 91)","(83, 87, 111)",casual_images/8_36.webp
457,,"(157, 158, 165)","(100, 99, 99)",casual_images/8_37.webp
458,,"(136, 107, 114)",,casual_images/8_38.webp
459,,"(178, 180, 196)","(193, 187, 182)",casual_images/8_39.webp
460,,"(73, 73, 77)","(53, 53, 56)",casual_images/8_40.webp
461,,"(52, 53, 59)","(125, 125, 133)",casual_images/8_41.webp
462,,"(44, 45, 47)","(39, 39, 41)",casual_images/8_42.webp
463,,"(65, 112, 96)","(205, 196, 177)",casual_images/8_43.webp
464,,"(37, 36, 36)","(99, 93, 86)",casual_images/8_44.webp
465,,"(46, 44, 44)","(38, 39, 38)",casual_images/8_45.webp
466,,"(46, 45, 48)","(41, 41, 43)",casual_images/8_46.webp
467,,"(58, 65, 83)","(73, 76, 73)",casual_images/8_47.webp
468,,"(174, 175, 180)","(70, 71, 78)",casual_images/8_48.webp
469,,"(146, 142, 141)","(143, 132, 123)",casual_images/8_49.webp
470,,"(29, 28, 31)","(40, 40, 43)",casual_images/8_50.webp
471,,"(25, 29, 42)","(192, 193, 202)",casual_images/8_51.webp
472,,"(112, 120, 142)","(143, 143, 150)",casual_images/8_52.webp
473,,"(151, 151, 159)","(115, 118, 121)",casual_images/8_53.webp
474,,"(45, 53, 62)","(122, 110, 114)",casual_images/8_54.webp
475,,"(43, 50, 60)","(76, 72, 77)",casual_images/8_55.webp
476,,"(49, 58, 75)","(58, 65, 81)",casual_images/8_56.webp
477,,"(27, 33, 41)","(79, 102, 122)",casual_images/8_57.webp
478,,"(41, 36, 34)","(102, 98, 99)",casual_images/8_58.webp
479,,"(52, 51, 53)","(169, 167, 167)",casual_images/8_59.webp
480,,"(41, 45, 50)",,casual_images/9_0.webp
481,,"(83, 84, 98)","(43, 43, 47)",casual_images/9_1.webp
482,,"(63, 62, 66)","(50, 51, 56)",casual_images/9_2.webp
483,,"(116, 107, 97)","(99, 112, 120)",casual_images/9_3.webp
484,,"(63, 69, 91)","(117, 108, 125)",casual_images/9_4.webp
485,,"(143, 112, 95)","(93, 87, 94)",casual_images/9_5.webp
486,,"(92, 106, 150)","(111, 82, 86)",casual_images/9_6.webp
487,,"(123, 125, 121)","(35, 30, 25)",casual_images/9_7.webp
488,,"(58, 75, 96)","(57, 74, 89)",casual_images/9_8.webp
489,,"(184, 181, 183)","(56, 56, 64)",casual_images/9_9.webp
490,,"(223, 117, 62)","(31, 29, 35)",casual_images/9_10.webp
491,,"(165, 167, 170)","(179, 174, 182)",casual_images/9_11.webp
492,,"(70, 69, 67)","(76, 83, 91)",casual_images/9_12.webp
493,,"(117, 120, 116)","(112, 124, 134)",casual_images/9_13.webp
494,,"(115, 155, 202)","(135, 105, 78)",casual_images/9_14.webp
495,,"(79, 85, 94)","(101, 106, 115)",casual_images/9_15.webp
496,,"(59, 59, 63)","(57, 57, 55)",casual_images/9_16.webp
497,,"(52, 52, 56)","(100, 102, 107)",casual_images/9_17.webp
498,,"(132, 139, 150)","(117, 125, 138)",casual_images/9_18.webp
499,,"(93, 93, 77)","(36, 33, 27)",casual_images/9_19.webp
500,,"(109, 107, 110)","(57, 62, 70)",casual_images/9_20.webp
501,,"(46, 49, 56)","(56, 69, 85)",casual_images/9_21.webp
502,,"(145, 152, 162)","(88, 102, 122)",casual_images/9_22.webp
503,,"(86, 98, 112)","(39, 42, 50)",casual_images/9_23.webp
504,,"(141, 142, 141)","(38, 45, 55)",casual_images/9_24.webp
505,,"(35, 34, 43)","(38, 41, 45)",casual_images/9_25.webp
506,,"(182, 166, 150)","(144, 132, 118)",casual_images/9_26.webp
507,,"(50, 53, 58)","(25, 24, 26)",casual_images/9_27.webp
508,,"(124, 129, 143)","(52, 51, 56)",casual_images/9_28.webp
509,,"(50, 52, 61)","(84, 86, 93)",casual_images/9_29.webp
510,,"(68, 79, 88)","(47, 46, 49)",casual_images/9_30.webp
511,,"(163, 129, 111)","(106, 115, 128)",casual_images/9_31.webp
512,,"(81, 84, 88)","(189, 165, 136)",casual_images/9_32.webp
513,,"(73, 76, 78)","(38, 47, 56)",casual_images/9_33.webp
514,,"(79, 63, 56)","(48, 47, 47)",casual_images/9_34.webp
515,,"(65, 71, 78)","(79, 82, 81)",casual_images/9_35.webp
516,,"(198, 196, 203)","(104, 95, 109)",casual_images/9_36.webp
517,,"(110, 100, 97)","(89, 74, 66)",casual_images/9_37.webp
518,,"(183, 166, 151)","(80, 39, 49)",casual_images/9_38.webp
519,,"(187, 186, 188)","(34, 39, 44)",casual_images/9_39.webp
520,,"(127, 117, 108)","(39, 48, 56)",casual_images/9_40.webp
521,,"(45, 50, 59)","(127, 117, 106)",casual_images/9_41.webp
522,,"(152, 152, 151)","(41, 35, 35)",casual_images/9_42.webp
523,,"(45, 56, 72)","(121, 134, 146)",casual_images/9_43.webp
524,,"(196, 184, 189)","(135, 140, 147)",casual_images/9_44.webp
525,,"(139, 144, 153)","(51, 49, 51)",casual_images/9_45.webp
526,,"(101, 101, 109)","(187, 185, 188)",casual_images/9_46.webp
527,,"(72, 75, 86)","(59, 81, 104)",casual_images/9_47.webp
528,,"(110, 123, 142)","(88, 113, 138)",casual_images/9_48.webp
529,,"(43, 48, 59)","(51, 52, 62)",casual_images/9_49.webp
530,,"(98, 89, 92)",,casual_images/9_50.webp
531,,"(85, 83, 93)","(92, 93, 99)",casual_images/9_51.webp
532,,"(65, 67, 72)","(116, 110, 110)",casual_images/9_52.webp
533,,"(83, 74, 73)","(42, 39, 38)",casual_images/9_53.webp
534,,"(83, 68, 63)","(81, 68, 67)",casual_images/9_54.webp
535,,"(72, 62, 55)","(61, 54, 59)",casual_images/9_55.webp
536,,"(128, 124, 127)",,casual_images/9_56.webp
537,,"(153, 140, 131)","(124, 110, 104)",casual_images/9_57.webp
538,,"(92, 92, 91)","(61, 64, 66)",casual_images/9_58.webp
539,,"(50, 49, 51)","(55, 56, 60)",casual_images/9_59.webp
540,,"(174, 178, 182)","(144, 157, 169)",casual_images/10_0.webp
541,,"(59, 63, 71)","(75, 85, 95)",casual_images/10_1.webp
542,,"(155, 144, 141)","(103, 116, 116)",casual_images/10_2.webp
543,,"(98, 87, 116)","(71, 68, 65)",casual_images/10_3.webp
544,,"(189, 190, 198)","(53, 59, 68)",casual_images/10_4.webp
545,,"(108, 129, 151)","(51, 50, 52)",casual_images/10_5.webp
546,,"(93, 94, 95)","(111, 113, 118)",casual_images/10_6.webp
547,,"(40, 41, 44)","(76, 72, 69)",casual_images/10_7.webp
548,,"(57, 58, 63)","(51, 51, 55)",casual_images/10_8.webp
549,,"(78, 89, 111)","(136, 152, 181)",casual_images/10_9.webp
550,,"(141, 154, 175)","(139, 130, 156)",casual_images/10_10.webp
551,,"(64, 64, 65)","(51, 50, 52)",casual_images/10_11.webp
552,,"(53, 66, 90)","(144, 160, 167)",casual_images/10_12.webp
553,,"(29, 30, 33)","(40, 39, 41)",casual_images/10_13.webp
554,,"(62, 67, 78)","(82, 85, 94)",casual_images/10_14.webp
555,,"(149, 146, 140)","(79, 66, 62)",casual_images/10_15.webp
556,,"(69, 64, 63)","(146, 144, 152)",casual_images/10_16.webp
557,,"(55, 48, 46)","(93, 89, 84)",casual_images/10_17.webp
558,,"(113, 89, 99)","(148, 167, 193)",casual_images/10_18.webp
559,,"(38, 48, 65)","(80, 88, 107)",casual_images/10_19.webp
560,,"(124, 101, 109)","(108, 91, 99)",casual_images/10_20.webp
561,,"(104, 105, 100)","(65, 67, 73)",casual_images/10_21.webp
562,,"(26, 48, 114)","(117, 118, 126)",casual_images/10_22.webp
563,,"(38, 43, 50)",,casual_images/10_23.webp
564,,"(214, 191, 151)","(128, 112, 91)",casual_images/10_24.webp
565,,"(66, 60, 64)","(54, 46, 49)",casual_images/10_25.webp
566,,"(188, 188, 185)","(108, 118, 130)",casual_images/10_26.webp
567,,"(66, 59, 60)","(89, 104, 121)",casual_images/10_27.webp
568,,"(85, 97, 117)","(101, 135, 171)",casual_images/10_28.webp
569,,"(136, 104, 85)","(76, 99, 116)",casual_images/10_29.webp
570,,"(77, 91, 125)","(169, 143, 112)",casual_images/10_30.webp
571,,"(94, 98, 112)","(62, 67, 81)",casual_images/10_31.webp
572,,"(188, 189, 195)","(99, 80, 75)",casual_images/10_32.webp
573,,"(92, 92, 92)","(106, 91, 100)",casual_images/10_33.webp
574,,"(82, 77, 69)","(57, 54, 57)",casual_images/10_34.webp
575,,"(174, 172, 172)","(115, 109, 101)",casual_images/10_35.webp
576,,"(64, 62, 65)","(74, 66, 66)",casual_images/10_36.webp
577,,"(29, 26, 28)","(133, 103, 103)",casual_images/10_37.webp
578,,"(81, 72, 87)","(76, 59, 58)",casual_images/10_38.webp
579,,"(129, 120, 119)","(138, 137, 135)",casual_images/10_39.webp
580,,"(96, 102, 112)","(94, 88, 79)",casual_images/10_40.webp
581,,"(60, 60, 67)","(42, 44, 48)",casual_images/10_41.webp
582,,"(52, 48, 51)","(91, 98, 108)",casual_images/10_42.webp
583,,"(118, 50, 62)","(85, 79, 81)",casual_images/10_43.webp
584,,"(70, 74, 83)","(44, 45, 48)",casual_images/10_44.webp
585,,"(88, 105, 121)","(99, 97, 101)",casual_images/10_45.webp
586,,"(110, 111, 123)","(140, 157, 177)",casual_images/10_46.webp
587,,"(70, 76, 82)","(74, 89, 99)",casual_images/10_47.webp
588,,"(76, 74, 76)","(113, 90, 75)",casual_images/10_48.webp
589,,"(93, 75, 76)","(129, 119, 117)",casual_images/10_49.webp
590,,"(86, 86, 93)","(83, 85, 90)",casual_images/10_50.webp
591,,"(68, 76, 107)","(54, 63, 82)",casual_images/10_51.webp
592,,"(107, 122, 134)","(160, 162, 165)",casual_images/10_52.webp
593,,"(80, 84, 92)","(49, 56, 63)",casual_images/10_53.webp
594,,"(98, 103, 109)",,casual_images/10_54.webp
595,,"(60, 69, 80)","(67, 73, 80)",casual_images/10_55.webp
596,,"(86, 82, 81)","(147, 154, 159)",casual_images/10_56.webp
597,,"(140, 104, 84)","(115, 101, 94)",casual_images/10_57.webp
598,,"(102, 104, 123)","(58, 56, 60)",casual_images/10_58.webp
599,,"(84, 66, 62)","(80, 65, 58)",casual_images/10_59.webp
