,chic,TOP_RGB,BOTTOM_RGB,path
406,,"(163, 144, 148)",,chic_images/7_56.webp
407,,"(170, 169, 185)",,chic_images/7_57.webp
408,,"(34, 28, 28)","(114, 111, 114)",chic_images/7_58.webp
409,,"(99, 91, 110)","(104, 131, 175)",chic_images/7_59.webp
410,,"(195, 173, 184)","(102, 78, 90)",chic_images/8_0.webp
411,,"(99, 91, 110)","(104, 131, 175)",chic_images/8_1.webp
412,,"(59, 56, 69)",,chic_images/8_2.webp
413,,"(188, 175, 190)","(99, 117, 162)",chic_images/8_3.webp
414,,"(192, 173, 185)","(115, 123, 159)",chic_images/8_4.webp
415,,"(102, 88, 96)","(66, 60, 75)",chic_images/8_5.webp
416,,"(58, 57, 62)","(95, 83, 80)",chic_images/8_6.webp
417,,"(179, 149, 150)",,chic_images/8_7.webp
418,,"(143, 149, 172)",,chic_images/8_8.webp
419,,"(51, 52, 69)","(168, 94, 98)",chic_images/8_9.webp
420,,"(173, 171, 211)","(149, 133, 139)",chic_images/8_10.webp
421,,"(104, 96, 110)","(108, 99, 111)",chic_images/8_11.webp
422,,"(77, 74, 75)","(91, 76, 68)",chic_images/8_12.webp
423,,"(128, 123, 136)","(120, 123, 146)",chic_images/8_13.webp
424,,"(71, 67, 80)","(96, 86, 98)",chic_images/8_14.webp
425,,"(55, 54, 60)","(96, 102, 124)",chic_images/8_15.webp
426,,"(95, 98, 114)","(104, 93, 104)",chic_images/8_16.webp
427,,"(172, 154, 165)","(191, 188, 213)",chic_images/8_17.webp
428,,"(119, 118, 129)","(118, 101, 106)",chic_images/8_18.webp
429,,"(101, 81, 77)",,chic_images/8_19.webp
430,,"(151, 126, 121)","(163, 133, 119)",chic_images/8_20.webp
431,,"(193, 171, 166)","(37, 36, 51)",chic_images/8_21.webp
432,,"(177, 127, 109)","(110, 109, 119)",chic_images/8_22.webp
433,,"(68, 68, 61)",,chic_images/8_23.webp
434,,"(100, 102, 130)","(149, 126, 122)",chic_images/8_24.webp
435,,"(122, 105, 118)","(51, 56, 70)",chic_images/8_25.webp
436,,"(186, 179, 189)","(170, 169, 185)",chic_images/8_26.webp
437,,"(133, 162, 218)","(44, 51, 69)",chic_images/8_27.webp
438,,"(38, 47, 68)","(134, 126, 141)",chic_images/8_28.webp
439,,"(169, 142, 136)",,chic_images/8_29.webp
440,,"(151, 141, 135)",,chic_images/8_30.webp
441,,"(121, 133, 154)","(185, 179, 190)",chic_images/8_31.webp
442,,"(154, 146, 156)","(174, 167, 174)",chic_images/8_32.webp
443,,"(178, 169, 182)","(170, 141, 136)",chic_images/8_33.webp
444,,"(163, 156, 163)","(95, 86, 94)",chic_images/8_34.webp
445,,"(125, 124, 159)","(132, 134, 148)",chic_images/8_35.webp
446,,"(183, 144, 119)","(141, 111, 116)",chic_images/8_36.webp
447,,"(110, 125, 151)","(51, 53, 68)",chic_images/8_37.webp
448,,"(132, 121, 131)","(142, 143, 163)",chic_images/8_38.webp
449,,"(104, 94, 92)","(147, 145, 167)",chic_images/8_39.webp
450,,"(141, 129, 131)","(202, 191, 193)",chic_images/8_40.webp
451,,"(62, 57, 67)","(144, 138, 149)",chic_images/8_41.webp
452,,"(115, 114, 132)","(122, 111, 119)",chic_images/8_42.webp
453,,"(161, 156, 163)","(180, 180, 191)",chic_images/8_43.webp
454,,"(74, 76, 91)",,chic_images/8_44.webp
455,,"(78, 77, 98)","(87, 76, 96)",chic_images/8_45.webp
456,,"(77, 74, 88)","(77, 79, 96)",chic_images/8_46.webp
457,,"(177, 166, 165)","(128, 113, 116)",chic_images/8_47.webp
458,,"(105, 103, 113)","(157, 135, 131)",chic_images/8_48.webp
459,,"(74, 67, 77)","(141, 131, 136)",chic_images/8_49.webp
460,,"(97, 88, 92)","(52, 58, 70)",chic_images/8_50.webp
461,,"(182, 140, 133)","(84, 99, 115)",chic_images/8_51.webp
462,,"(168, 135, 142)","(198, 193, 197)",chic_images/8_52.webp
463,,"(150, 130, 141)","(180, 175, 187)",chic_images/8_53.webp
464,,"(93, 96, 107)","(174, 183, 211)",chic_images/8_54.webp
465,,"(31, 28, 30)","(72, 69, 69)",chic_images/8_55.webp
466,,"(192, 150, 151)","(175, 143, 139)",chic_images/8_56.webp
467,,"(154, 153, 152)",,chic_images/8_57.webp
468,,"(111, 107, 123)",,chic_images/8_58.webp
469,,"(87, 79, 86)","(90, 75, 77)",chic_images/8_59.webp
470,,"(131, 110, 112)",,chic_images/9_0.webp
471,,"(68, 69, 92)","(152, 133, 142)",chic_images/9_1.webp
472,,"(87, 79, 86)","(90, 75, 77)",chic_images/9_2.webp
473,,"(50, 47, 48)","(74, 62, 62)",chic_images/9_3.webp
474,,"(97, 91, 101)","(159, 144, 140)",chic_images/9_4.webp
475,,"(205, 125, 174)","(68, 63, 80)",chic_images/9_5.webp
476,,"(44, 44, 57)","(163, 162, 177)",chic_images/9_6.webp
477,,"(158, 158, 180)","(117, 106, 115)",chic_images/9_7.webp
478,,"(122, 115, 115)","(64, 64, 67)",chic_images/9_8.webp
479,,"(48, 53, 54)","(31, 30, 33)",chic_images/9_9.webp
480,,"(45, 45, 48)","(109, 102, 100)",chic_images/9_10.webp
481,,"(161, 167, 188)","(95, 91, 100)",chic_images/9_11.webp
482,,"(177, 155, 163)","(171, 173, 174)",chic_images/9_12.webp
483,,"(176, 169, 176)","(178, 151, 147)",chic_images/9_13.webp
484,,"(129, 156, 185)","(49, 50, 66)",chic_images/9_14.webp
485,,"(138, 126, 140)","(98, 80, 93)",chic_images/9_15.webp
486,,"(146, 146, 171)","(77, 81, 108)",chic_images/9_16.webp
487,,"(121, 110, 112)","(70, 67, 75)",chic_images/9_17.webp
488,,"(82, 82, 91)","(95, 102, 110)",chic_images/9_18.webp
489,,"(174, 175, 192)","(42, 42, 53)",chic_images/9_19.webp
490,,"(136, 148, 170)","(116, 126, 141)",chic_images/9_20.webp
491,,"(75, 93, 123)",,chic_images/9_21.webp
492,,"(72, 71, 75)","(88, 86, 91)",chic_images/9_22.webp
493,,"(83, 80, 93)","(90, 91, 109)",chic_images/9_23.webp
494,,"(100, 105, 128)","(120, 115, 128)",chic_images/9_24.webp
495,,"(65, 59, 61)","(149, 128, 120)",chic_images/9_25.webp
496,,"(136, 137, 150)",,chic_images/9_26.webp
497,,"(141, 124, 135)","(187, 155, 156)",chic_images/9_27.webp
498,,"(110, 137, 178)","(28, 37, 64)",chic_images/9_28.webp
499,,"(73, 80, 100)","(171, 120, 133)",chic_images/9_29.webp
500,,"(56, 55, 75)","(70, 78, 109)",chic_images/9_30.webp
501,,"(135, 133, 151)","(156, 138, 154)",chic_images/9_31.webp
502,,"(180, 144, 134)","(208, 159, 152)",chic_images/9_32.webp
503,,"(120, 123, 133)","(105, 99, 109)",chic_images/9_33.webp
504,,"(85, 77, 91)","(58, 56, 66)",chic_images/9_34.webp
505,,"(187, 168, 177)",,chic_images/9_35.webp
506,,"(64, 70, 90)","(66, 69, 86)",chic_images/9_36.webp
507,,"(126, 122, 130)","(68, 63, 71)",chic_images/9_37.webp
508,,"(158, 153, 163)","(176, 172, 180)",chic_images/9_38.webp
509,,"(72, 74, 97)","(126, 118, 144)",chic_images/9_40.webp
510,,"(31, 28, 27)","(49, 47, 45)",chic_images/9_41.webp
511,,"(56, 78, 121)","(64, 66, 88)",chic_images/9_42.webp
512,,"(45, 43, 41)","(31, 27, 25)",chic_images/9_43.webp
513,,"(140, 153, 162)","(103, 146, 110)",chic_images/9_44.webp
514,,"(171, 156, 162)","(124, 127, 142)",chic_images/9_45.webp
515,,"(105, 71, 76)","(184, 176, 188)",chic_images/9_46.webp
516,,"(90, 80, 88)","(66, 57, 69)",chic_images/9_47.webp
517,,"(175, 169, 166)","(152, 141, 136)",chic_images/9_48.webp
518,,"(94, 113, 138)","(80, 84, 87)",chic_images/9_49.webp
519,,"(95, 97, 109)","(91, 79, 87)",chic_images/9_50.webp
520,,"(76, 78, 92)",,chic_images/9_51.webp
521,,"(67, 74, 98)",,chic_images/9_52.webp
522,,"(69, 66, 76)","(144, 129, 172)",chic_images/9_53.webp
523,,"(96, 90, 78)",,chic_images/9_54.webp
524,,"(186, 46, 45)",,chic_images/9_55.webp
525,,"(94, 92, 97)","(81, 86, 95)",chic_images/9_56.webp
526,,"(56, 46, 43)",,chic_images/9_57.webp
527,,"(61, 62, 61)",,chic_images/9_58.webp
528,,"(127, 126, 126)",,chic_images/9_59.webp
529,,"(128, 136, 154)","(103, 107, 131)",chic_images/10_0.webp
530,,"(114, 102, 110)","(124, 115, 112)",chic_images/10_1.webp
531,,"(42, 33, 43)","(30, 34, 25)",chic_images/10_3.webp
532,,"(89, 66, 67)","(154, 167, 190)",chic_images/10_4.webp
533,,"(176, 160, 163)","(168, 140, 133)",chic_images/10_5.webp
534,,"(84, 90, 109)","(50, 52, 67)",chic_images/10_6.webp
535,,"(149, 130, 133)","(159, 138, 74)",chic_images/10_7.webp
536,,"(62, 63, 80)","(80, 72, 81)",chic_images/10_8.webp
537,,"(108, 109, 137)","(153, 146, 161)",chic_images/10_9.webp
538,,"(27, 24, 26)",,chic_images/10_10.webp
539,,"(175, 160, 159)","(202, 184, 179)",chic_images/10_11.webp
540,,"(39, 48, 70)","(90, 82, 95)",chic_images/10_12.webp
541,,"(161, 163, 172)","(30, 36, 56)",chic_images/10_13.webp
542,,"(133, 113, 115)","(92, 89, 99)",chic_images/10_14.webp
543,,"(51, 61, 86)","(127, 122, 139)",chic_images/10_15.webp
544,,"(73, 64, 68)","(60, 74, 89)",chic_images/10_16.webp
545,,"(118, 114, 126)",,chic_images/10_17.webp
546,,"(79, 80, 96)","(75, 77, 99)",chic_images/10_18.webp
547,,"(78, 66, 73)",,chic_images/10_19.webp
548,,"(48, 52, 60)","(143, 124, 124)",chic_images/10_20.webp
549,,"(124, 112, 115)","(70, 65, 76)",chic_images/10_21.webp
550,,"(137, 142, 160)",,chic_images/10_22.webp
551,,"(152, 136, 127)","(79, 76, 76)",chic_images/10_23.webp
552,,"(59, 56, 58)","(147, 128, 121)",chic_images/10_24.webp
553,,"(115, 115, 123)","(127, 109, 100)",chic_images/10_25.webp
554,,"(82, 78, 85)","(84, 57, 73)",chic_images/10_26.webp
555,,"(87, 75, 77)","(150, 180, 168)",chic_images/10_27.webp
556,,"(94, 94, 109)","(69, 66, 76)",chic_images/10_28.webp
557,,"(91, 89, 99)","(65, 77, 77)",chic_images/10_29.webp
558,,"(81, 79, 89)","(113, 106, 113)",chic_images/10_30.webp
559,,"(119, 94, 84)","(145, 134, 136)",chic_images/10_31.webp
560,,"(53, 51, 55)","(121, 101, 92)",chic_images/10_32.webp
561,,"(85, 84, 98)","(60, 56, 61)",chic_images/10_33.webp
562,,"(180, 71, 123)",,chic_images/10_34.webp
563,,"(81, 72, 80)","(48, 51, 68)",chic_images/10_36.webp
564,,"(68, 65, 73)","(98, 81, 82)",chic_images/10_37.webp
565,,"(86, 77, 82)","(137, 116, 115)",chic_images/10_38.webp
566,,"(124, 119, 132)","(126, 141, 172)",chic_images/10_39.webp
567,,"(112, 117, 130)","(133, 131, 142)",chic_images/10_40.webp
568,,"(114, 111, 122)","(138, 121, 123)",chic_images/10_41.webp
569,,"(131, 109, 106)",,chic_images/10_42.webp
570,,"(49, 54, 57)","(74, 74, 73)",chic_images/10_43.webp
571,,"(74, 67, 66)","(42, 43, 48)",chic_images/10_44.webp
572,,"(119, 122, 140)","(91, 38, 59)",chic_images/10_45.webp
573,,"(114, 108, 107)","(62, 67, 75)",chic_images/10_46.webp
574,,"(143, 116, 111)",,chic_images/10_47.webp
575,,"(93, 89, 99)","(109, 125, 151)",chic_images/10_48.webp
576,,"(42, 48, 57)","(119, 116, 113)",chic_images/10_49.webp
577,,"(87, 79, 77)","(38, 37, 38)",chic_images/10_50.webp
578,,"(143, 112, 91)","(80, 79, 85)",chic_images/10_51.webp
579,,"(77, 69, 62)","(37, 37, 38)",chic_images/10_52.webp
580,,"(67, 74, 93)",,chic_images/10_53.webp
581,,"(50, 50, 79)","(157, 155, 170)",chic_images/10_54.webp
582,,"(171, 172, 192)","(190, 181, 191)",chic_images/10_55.webp
583,,"(121, 148, 179)","(141, 138, 147)",chic_images/10_56.webp
584,,"(72, 75, 91)",,chic_images/10_57.webp
585,,"(66, 63, 67)",,chic_images/10_58.webp
586,,"(183, 181, 190)","(177, 169, 174)",chic_images/10_59.webp
